順位,駅名,m2単価（万円）,前年比
1位,銀座駅,"3,028.00",25.60%
2位,東京駅,"2,476.00",6.90%
3位,銀座一丁目駅,"2,083.00",24.40%
4位,大手町駅,"1,854.70",6.90%
5位,有楽町駅,"1,730.00",6.80%
6位,京橋駅,"1,590.00",7.40%
7位,霞ヶ関駅,"1,180.00",5.40%
8位,日本橋駅,"1,089.30",7.20%
9位,日比谷駅,"1,084.50",10.80%
10位,原宿駅,"1,067.50",17.40%
11位,汐留駅,933,7.60%
12位,新宿駅,917.1,8.10%
13位,新宿三丁目駅,895.3,7.40%
14位,内幸町駅,770.6,8.50%
15位,竹橋駅,648.7,9.90%
16位,宝町駅,635,6.90%
17位,虎ノ門駅,619,8.90%
18位,渋谷駅,599.8,8.10%
19位,上野広小路駅,587.5,7.60%
20位,新橋駅,581.5,7.40%
21位,明治神宮前駅,558,14.80%
22位,東銀座駅,517.5,9%
23位,外苑前駅,489.3,9.50%
24位,青山一丁目駅,483.7,6.90%
25位,赤坂見附駅,470,4.30%
26位,小川町駅,450,6.90%
27位,品川駅,385.2,6.40%
28位,溜池山王駅,379.5,7.40%
29位,神谷町駅,369,5%
30位,秋葉原駅,360.1,6.70%
31位,新日本橋駅,331.5,6.20%
32位,麹町駅,318.3,7.30%
33位,淡路町駅,308.5,6.80%
34位,市ヶ谷駅,306.9,6.50%
35位,芝公園駅,295,6.10%
36位,代々木駅,294,7.10%
37位,大門駅,288.7,6.10%
38位,田町駅,275,6.20%
39位,半蔵門駅,273.8,7.20%
40位,六本木駅,272.4,6%
41位,九段下駅,270,7.60%
42位,八丁堀駅,266,6.70%
43位,岩本町駅,258,6.60%
44位,赤坂駅,258,4.10%
45位,六本木一丁目駅,256,4.90%
46位,池袋駅,255.2,6.20%
47位,神保町駅,252.3,7.30%
48位,永田町駅,241.5,8.30%
49位,神田駅,232.3,6.60%
50位,三越前駅,232,6.40%
51位,茅場町駅,224.6,6.60%
52位,大崎駅,221.5,5.50%
53位,三田駅,221.5,5.40%
54位,四ツ谷駅,219,4.20%
55位,御徒町駅,217.5,6.60%
56位,飯田橋駅,206.3,5.60%
57位,恵比寿駅,197.6,6.40%
58位,水道橋駅,197.4,6.90%
59位,麻布十番駅,197.2,4.90%
60位,泉岳寺駅,194.5,8.60%
61位,自由が丘駅,192.9,6.40%
62位,五反田駅,191.9,4.90%
63位,築地市場駅,185,10.10%
64位,表参道駅,184.7,5.30%
65位,御茶ノ水駅,183,5.80%
66位,御成門駅,182.5,6.20%
67位,小伝馬町駅,161.1,6.40%
68位,浜松町駅,158.3,5.30%
69位,赤羽橋駅,157.3,4.80%
70位,白金高輪駅,155.7,4.50%
71位,代官山駅,155.5,5.20%
72位,東日本橋駅,155,6.20%
73位,上野駅,153.9,6.90%
74位,広尾駅,153.2,4.30%
75位,中目黒駅,150.6,6.10%
76位,東新宿駅,150.4,3.40%
77位,新富町駅,149,6.70%
78位,人形町駅,146.9,6.30%
79位,四谷三丁目駅,145.9,3.80%
80位,勝どき駅,137.3,5.80%
